,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
23/10/2015,0,0,0,1,1,4,0,8,1,5,0,11,0,2,0,2,0,1,0,1,0,1,0,2,0,0,0,4
24/10/2015,0,0,0,2,1,2,0,5,1,6,0,11,0,2,0,1,0,5,0,0,0,3,0,2,0,1,0,1
25/10/2015,0,2,0,3,0,3,0,9,0,11,0,14,0,6,0,3,0,0,0,2,0,3,0,1,0,1,0,1
26/10/2015,0,0,0,3,0,2,0,15,0,3,0,8,2,0,0,1,0,2,0,3,1,1,0,3,0,3,0,4
27/10/2015,0,0,0,0,0,6,0,6,0,4,0,12,0,2,0,1,0,1,0,1,0,3,0,4,0,1,0,4
28/10/2015,0,0,0,1,0,9,0,2,1,6,0,5,0,1,0,2,0,3,0,1,0,1,0,0,0,0,0,1
29/10/2015,0,1,0,2,0,6,0,14,1,7,0,16,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,2
30/10/2015,1,2,0,1,0,4,0,15,0,11,0,8,1,2,0,2,0,0,0,2,0,2,0,1,0,2,0,2
31/10/2015,0,1,0,4,0,5,0,12,0,13,0,7,0,3,0,1,0,1,0,2,0,2,0,4,0,2,0,1
1/11/2015,0,4,0,7,0,4,0,7,0,6,0,10,0,5,0,1,0,2,0,2,0,2,0,0,0,0,0,1
2/11/2015,0,3,0,4,0,2,0,6,0,7,0,12,1,0,0,0,0,0,0,1,0,1,0,3,0,1,0,0
3/11/2015,0,1,0,1,0,6,0,5,0,4,0,1,0,2,0,1,0,2,0,1,0,1,0,1,0,0,0,2
4/11/2015,0,1,0,2,0,4,0,11,0,3,0,16,0,0,0,4,0,3,0,0,0,2,0,4,0,2,0,1
5/11/2015,0,1,0,3,0,9,0,6,0,6,0,12,0,0,0,0,0,0,0,2,0,2,0,4,0,1,0,3
6/11/2015,1,1,0,0,0,8,0,9,0,4,0,15,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1
7/11/2015,0,1,0,3,0,3,0,5,0,9,0,4,1,2,0,3,0,0,0,3,0,2,0,1,0,0,0,1
8/11/2015,0,2,0,2,0,5,0,6,0,6,0,8,0,2,0,4,0,2,0,1,0,0,0,0,1,4,0,5
9/11/2015,0,1,0,1,0,7,0,15,1,1,0,11,0,1,0,2,0,1,0,4,0,1,0,1,0,0,0,3
10/11/2015,1,0,0,1,0,6,0,9,0,2,0,7,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,3
11/11/2015,0,1,0,0,0,4,0,7,0,5,0,11,0,1,0,2,0,0,0,1,0,2,0,1,0,1,0,1
12/11/2015,0,1,0,1,0,3,0,10,0,6,0,10,0,1,0,1,0,2,0,3,0,1,0,4,0,0,0,0
13/11/2015,0,0,0,2,0,5,0,13,0,6,0,15,0,1,0,3,0,2,0,1,0,1,0,1,0,0,0,1
14/11/2015,0,2,0,3,0,9,0,7,0,9,0,6,0,1,0,2,1,3,0,3,0,0,0,2,1,2,0,0
15/11/2015,0,1,0,2,0,3,0,7,0,5,0,14,0,3,0,5,0,1,0,1,1,2,0,0,0,1,0,0
16/11/2015,0,0,0,0,0,5,0,10,1,3,0,9,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2
17/11/2015,0,0,0,1,0,9,0,11,0,8,0,16,0,1,0,0,0,1,0,2,0,3,0,1,0,2,0,0
18/11/2015,0,0,0,3,0,6,0,10,1,10,0,8,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
19/11/2015,0,3,0,2,0,9,0,13,0,5,0,7,0,1,0,1,0,2,0,0,0,2,0,1,0,0,0,2
20/11/2015,0,1,0,4,0,7,0,12,0,3,0,9,0,1,0,1,0,1,0,1,0,0,0,6,0,0,0,3
21/11/2015,0,2,0,2,0,7,0,7,0,7,0,6,0,4,0,4,0,2,0,3,0,2,0,2,0,1,0,0
22/11/2015,0,1,0,2,1,5,0,9,0,4,0,9,0,2,0,2,0,4,0,2,1,1,0,1,0,0,0,2
23/11/2015,0,1,0,2,0,6,0,5,0,7,0,17,0,0,0,3,1,1,0,3,0,0,0,1,0,1,0,1
24/11/2015,0,1,0,4,0,6,0,11,1,10,0,20,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,2
25/11/2015,0,2,0,0,0,4,0,11,0,8,0,14,0,2,0,1,0,1,0,3,0,1,0,2,0,0,0,1
26/11/2015,0,0,0,7,0,4,0,8,0,14,0,7,0,1,0,2,1,0,0,0,0,1,0,2,0,1,0,0
27/11/2015,0,1,0,4,0,5,0,11,0,10,0,14,1,2,0,2,0,0,0,3,0,0,0,1,0,2,0,2
28/11/2015,0,2,0,6,0,5,0,10,2,4,0,13,0,1,0,2,0,1,0,5,0,0,0,0,0,0,0,0
29/11/2015,0,1,0,3,0,8,0,8,0,9,0,8,0,3,0,2,0,1,0,2,0,0,0,2,0,1,0,3
30/11/2015,0,1,0,0,1,6,0,11,0,10,0,13,1,0,0,0,0,1,0,1,1,2,0,2,0,0,0,1
1/12/2015,0,0,0,1,0,5,0,13,1,11,0,10,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1
2/12/2015,0,0,0,1,0,6,0,13,0,12,0,7,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2
3/12/2015,0,1,0,0,0,2,0,8,0,8,0,6,1,2,0,2,0,1,0,2,0,1,0,1,0,0,0,1
4/12/2015,0,4,0,3,0,14,0,11,0,6,0,20,0,3,0,2,0,1,0,3,0,1,0,4,0,1,0,0
5/12/2015,0,3,0,2,0,2,0,10,0,15,0,11,0,2,0,2,0,1,0,1,0,0,0,2,1,1,0,0
6/12/2015,0,0,0,0,0,7,0,10,1,11,0,7,0,1,0,2,1,4,0,2,0,0,0,1,0,0,0,2
7/12/2015,0,0,0,0,0,11,0,11,0,11,0,11,0,1,0,2,0,0,0,4,0,0,0,1,1,3,0,2
8/12/2015,0,1,0,1,0,8,0,16,0,7,0,13,1,2,0,3,0,0,0,1,2,0,0,1,0,2,0,0
9/12/2015,0,1,0,3,0,11,0,20,1,11,0,13,0,1,0,4,0,2,0,2,0,1,0,2,0,0,0,4
10/12/2015,0,1,0,2,0,17,0,10,0,8,0,9,0,3,0,0,0,0,0,5,0,0,0,1,0,0,0,1
11/12/2015,0,1,0,1,0,5,0,15,0,12,0,14,0,1,0,1,0,0,0,2,0,2,0,1,0,0,0,0
12/12/2015,0,1,0,2,0,7,0,6,0,4,0,7,0,0,0,2,0,3,0,1,0,1,0,1,0,0,0,3
13/12/2015,0,1,0,1,0,10,0,11,0,8,0,8,0,4,0,2,0,1,0,1,0,2,0,2,0,0,0,4
14/12/2015,0,2,0,3,0,5,0,10,1,8,0,11,0,0,0,1,1,4,0,2,0,1,0,1,0,1,0,2
15/12/2015,0,0,0,0,0,10,0,11,0,13,0,16,0,1,0,1,0,1,0,4,0,1,0,4,0,0,0,0
16/12/2015,0,0,0,3,0,6,0,15,0,5,0,12,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,1
17/12/2015,0,1,0,6,0,13,0,12,0,5,0,14,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,2
18/12/2015,0,1,0,5,0,8,0,16,0,10,0,17,0,2,0,0,0,2,0,3,0,0,0,1,0,0,0,1
19/12/2015,0,1,0,2,0,7,0,8,0,5,0,6,0,2,0,1,0,0,0,2,0,5,0,1,0,1,0,0
20/12/2015,0,0,0,3,0,3,0,7,0,5,0,9,0,1,0,3,1,1,0,0,0,2,0,1,0,1,0,0
21/12/2015,0,1,0,2,0,8,0,6,0,7,0,9,0,0,0,3,0,1,0,2,0,2,0,1,0,1,0,3
22/12/2015,1,0,0,1,0,7,0,17,0,7,0,9,0,2,0,1,0,1,0,3,0,1,0,5,0,0,0,2
23/12/2015,0,2,0,2,1,5,0,13,0,8,0,8,0,0,0,2,0,2,0,2,0,0,0,3,0,2,0,0
24/12/2015,1,1,0,3,0,3,0,12,0,10,0,10,0,0,0,0,1,1,0,1,0,3,0,0,0,3,0,1
25/12/2015,0,1,0,1,0,0,0,9,0,5,0,7,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,1
26/12/2015,0,1,0,3,0,9,0,8,0,3,0,11,1,2,0,3,0,1,0,1,0,3,0,1,0,0,0,1
27/12/2015,0,2,0,5,0,5,0,4,1,4,0,8,0,2,0,1,0,1,0,0,0,1,0,1,0,5,0,2
28/12/2015,0,1,0,2,0,4,0,8,1,7,0,9,0,2,0,3,0,2,0,1,0,2,0,2,0,2,0,0
29/12/2015,0,1,0,3,2,6,0,8,0,3,0,12,0,0,0,4,0,1,0,1,0,1,0,2,0,2,0,1
30/12/2015,0,1,0,3,0,4,0,7,0,4,0,8,0,3,0,1,0,2,0,1,0,2,0,2,0,2,0,1
31/12/2015,0,1,0,1,0,3,0,5,0,6,0,4,0,1,0,2,0,2,0,1,1,4,0,1,0,2,0,3
1/1/2016,0,1,0,5,0,7,0,7,1,9,0,3,0,3,0,2,0,1,0,1,0,2,0,0,0,1,0,0
2/1/2016,0,3,0,1,0,2,0,4,0,8,0,5,1,2,0,1,0,2,0,1,0,2,0,2,0,1,0,2
3/1/2016,0,1,0,5,0,3,0,6,0,7,0,4,0,2,0,3,0,0,0,3,0,2,0,1,0,2,0,4
4/1/2016,0,2,0,2,0,2,0,5,0,4,0,5,0,1,0,1,1,4,0,3,0,1,0,3,0,0,0,1
5/1/2016,0,1,0,6,1,2,0,7,0,6,0,7,0,6,0,2,0,0,0,3,0,3,0,1,0,2,0,1
6/1/2016,0,2,0,1,0,5,0,13,0,7,0,8,0,0,0,0,0,3,0,4,0,1,0,3,0,2,0,1
7/1/2016,0,0,0,2,0,3,0,6,0,10,0,12,0,0,0,0,0,2,0,2,0,1,0,1,0,1,0,2
8/1/2016,0,1,0,1,0,5,0,10,0,4,0,4,0,0,0,2,0,0,0,3,0,1,0,2,0,1,0,2
9/1/2016,0,1,0,5,0,7,0,10,0,5,0,3,1,1,0,3,0,0,0,1,0,0,0,2,0,1,0,2
10/1/2016,1,1,0,2,1,0,0,9,1,3,0,8,0,0,0,2,0,1,0,2,0,5,0,2,0,0,0,3
11/1/2016,0,0,0,4,0,1,0,7,0,3,0,6,0,1,0,3,0,2,0,1,0,2,0,3,0,0,0,2
12/1/2016,0,1,0,0,0,3,0,13,0,3,0,10,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
13/1/2016,0,0,0,0,0,7,0,12,1,4,0,8,1,1,0,0,0,0,0,4,0,2,0,1,0,1,0,0
14/1/2016,0,4,0,4,0,4,0,11,1,5,0,6,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,2
15/1/2016,0,0,0,2,0,3,0,12,0,9,0,3,0,2,0,4,0,0,0,2,0,1,0,3,0,1,0,0
