"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-21","0.00","78","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-22","0.00","85","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-23","0.00","107","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-24","0.09","82","72"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-25","0.05","81","66"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-26","0.00","73","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-27","0.00","73","62"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-28","0.00","73","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-02-29","0.00","78","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-01","0.00","94","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-02","0.00","93","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-03","0.00","80","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-04","0.00","92","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-05","0.00","75","68"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-06","0.00","83","62"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-07","0.01","79","65"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-08","0.00","105","68"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-09","0.00","83","69"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-10","0.02","70","62"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-11","0.27","78","65"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-12","0.00","73","64"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-13","0.00","74","63"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-14","0.00","70","64"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-15","0.00","79","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-16","0.00","88","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-17","0.00","93","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-18","0.68","67","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-19","0.44","66","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-20","0.01","73","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-21","0.00","75","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-22","0.00","75","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-23","0.00","84","53"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-24","0.00","71","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-25","0.00","68","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-26","0.02","68","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-27","0.03","68","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-28","0.00","67","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-29","0.00","65","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-30","0.00","65","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-03-31","0.00","72","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-01","0.00","81","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-02","0.00","67","62"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-03","0.00","68","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-04","0.00","70","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-05","0.00","85","51"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-06","0.56","60","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-07","0.24","65","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-08","0.00","68","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-09","0.00","71","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-10","0.00","73","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-11","0.00","66","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-12","0.03","65","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-13","0.00","67","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-14","0.00","79","51"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-15","0.00","77","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-16","0.00","68","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-17","0.00","67","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-18","0.00","78","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-19","0.00","82","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-20","0.00","83","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-21","0.00","77","67"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-22","0.63","63","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-23","0.00","66","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-24","0.00","68","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-25","0.00","76","46"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-26","0.00","78","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-27","0.00","79","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-28","0.00","76","67"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-29","0.02","69","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-04-30","0.40","75","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-01","0.50","61","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-02","0.11","67","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-03","0.00","68","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-04","0.20","64","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-05","0.00","71","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-06","0.00","76","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-07","0.00","79","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-08","0.22","69","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-09","0.08","72","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-10","0.59","65","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-11","0.04","63","53"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-12","0.04","68","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-13","0.04","71","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-14","0.00","70","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-15","0.00","68","61"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-16","0.00","68","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-17","0.05","62","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-18","0.00","67","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-19","0.00","65","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-20","0.24","63","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-21","0.00","66","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-22","0.00","72","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-23","0.19","63","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-24","0.03","60","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-25","0.00","63","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-26","0.34","55","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-27","0.39","59","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-28","0.02","58","40"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-29","0.02","56","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-30","0.00","60","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-05-31","0.00","61","35"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-06-01","0.00","61","37"
"ASN00086077","MOORABBIN AIRPORT, AS","2016-06-02","0.00","56","36"
